client,invoice_date,due_date,amount,paid_date
Pixel Works,2026-04-26,2026-05-11,7869.34,2026-05-11
Pixel Works,2026-05-28,2026-06-12,5006.72,2026-06-14
Nova Tech,2026-04-09,2026-04-24,6075.38,2026-04-24
Pixel Works,2026-04-01,2026-04-16,3728.87,2026-04-16
Client Direct,2026-05-31,2026-06-15,4712.74,2026-06-15
Acme Ltd,2026-05-26,2026-06-10,5603.29,2026-06-10
Acme Ltd,2026-05-05,2026-05-20,5290.94,2026-05-20
Pixel Works,2026-04-10,2026-04-25,4307.9,2026-04-25
Client Direct,2026-05-19,2026-06-03,2602.84,2026-06-03
Pixel Works,2026-06-11,2026-06-26,3659.09,2026-06-26
Acme Ltd,2026-06-01,2026-06-16,3077.46,
Acme Ltd,2026-04-22,2026-05-07,5283.41,2026-05-07
Client Direct,2026-04-20,2026-05-05,4600.05,2026-05-25
Client Direct,2026-05-01,2026-05-16,6761.42,
Bright Studio,2026-05-02,2026-05-17,4558.72,2026-05-17
